OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,País106,Abacavir+Lamivudina 600 + 300mg/tab,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,07/01/2019,,"218264,59",USD,Costa Rica
91,Lamivudina 10 mg solucion oral frasco 100 ml,,"Subasta inversa electrónica (Art.  79, 80)",MINISTERIO DE SALUD PUBLICA,OXIALFARM CIA LTDA,23/06/2017,," 51.792,97 ",USD,Ecuador
92,Lopinavir + Ritonavir 80mg+20mg/ml,,"Subasta inversa electrónica (Art. 77, 79, 80)",MINISTERIO DE SALUD PUBLICA,QUIFATEX S.A.,04/11/2019,," 26.147,31 ",USD,Ecuador
93,Abacavir+Lamivudina 600 + 300mg/tab,,Contratacion directa por terminacion unilateral,SERVICIO NACIONAL DE CONTRATACION PUBLICA SERCOP,OXIALFARM CIA LTDA,04/06/2017,," 1.508.226,57 ",USD,Ecuador
94,Zidovudina + Lamivudina 300 mg +150 mg,,Compra para PACIENTES AFILIADOS AL ISSFA QUE PADECEN DE ENFERMEDADES CRÓNICAS Y/O CATASTRÓFICAS,INSTITUTO DE SEGURIDAD DE LAS FUERZAS ARMADAS ISSFA,OXIALFARM CIA LTDA,04/09/2019,," 12.830,40 ",USD,Ecuador
95,Lopinavir + Ritonavir 200mg+50mg,,Subasta inversa electronica,Hospital de Especalidades Carlos Andrade Marín,OXIALFARM CIA LTDA,30/09/2019,," 142.762,20 ",USD,Ecuador
96,Lopinavir + Ritonavir 200mg+50mg,,Subasta inversa electronica,Hospital de Especialidades José Carrasco Arteaga,QUIFATEX S.A.,18/06/2019,," 6.490,94 ",USD,Ecuador
97,Lopinavir + Ritonavir 200mg+50mg,,Subasta inversa electronica,Hospital de Especialidades Teodoro Maldonado Carbo,OXIALFARM CIA LTDA,29/06/2019,," 136.057,88 ",USD,Ecuador
98,Zidovudina + Lamivudina 300 mg +150 mg,,,Hospital de Especialidades Carlos Andrade Marín,Acromax Laboratorio Quimico Farmaceutico S.A.,20/05/2019,," 13.770,00 ",USD,Ecuador
99,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hospital de Especialidades Jose Carrasco Arteaga,Glaxosmithkline Ecuador S.A.,03/06/2019,," 15.000,00 ",USD,Ecuador
100,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hospital de Especialidades Carlos Andrade Marín,OXIALFARM CIA LTDA,22/10/2019,," 57.459,81 ",USD,Ecuador
101,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hosptial de Especialidades Carlos Andrade marín,Acromax Laboratorio Quimico Farmaceutico S.A.,21/01/2020,," 40.230,00 ",USD,Ecuador
102,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hospital de Especialidades Teodoro Maldonado Carbo,Acromax Laboratorio Quimico Farmaceutico S.A.,15/01/2020,," 33.750,00 ",USD,Ecuador
103,Zidovudina 20ml,,Subasta inversa electronica,MiniSTERIO DE SALUD PUBLICA,Glaxosmithkline Ecuador S.A.,06/10/2019,," 26.465,40 ",USD,Ecuador
104,Emtricitabina+Tenofovir 300+200mg,,Subasta inversa electronica,Hospital de especialidades Carlos Andrade marín,Farmel Farmacos y Medicamentos CIA LTDA.,27/01/2020,," 94.802,40 ",USD,Ecuador
105,Emtricitabina+Tenofovir 300+200mg,,Subasta inversa electronica,Hospital de Especialidades Teodoro Maldonado Carbo, HELSINNPHARM CIA. LTDX,21/11/2019,," 101.500,00 ",USD,Ecuador
