OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,País
293,Dolutegravir 50Mg,,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),MINISTERIO DE SALUD PÚBLICA,"CORPORACION AMICELCO, SOCIEDAD ANONIMA",05/08/2019,," 11.356,06 ",USD,Guatemala
294,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta Inversa Electrónica,Centro Nacional De Abastecimineto de Recursos Estrategicos en Salud - CENARES,Seven Pharma S.A.C,21/01/2020,," 438.729,54 ",USD,Perú
295,Zidovudina 10 ml inyectable,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Organización Panamericana de la Salud OPS/OMS,07/11/2019,," 4.047,15 ",USD,Perú
296,Zidovudina 50mg/5ml solucion oral frasco 240 ml,,Fondo Rotatorio Regional para la Adquisicion de productos estrategicos de salud publica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,OPS,17/05/2019,," 50.227,40 ",USD,Perú
297,Zidovudina+Lamivudina+Nevirapina 300+150+200mg/tab,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Seven Pharma S.A.C,29/01/2019,," 119.149,61 ",USD,Perú
298,Emtricitabina+Tenofovir +Efavirenz 200 mg + 300 mg +600 mg,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,PHARMARIS PERU S.A.C,15/04/2018,," 4.541.580,42 ",USD,Perú
299,Emtricitabina+Tenofovir 300+200mg,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,PHARMARIS PERU S.A.C,28/03/2018,," 152.111,81 ",USD,Perú
300,Tenofovir disoproxil fumarate 300 MG/tab,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Seven Pharma S.A.C,03/05/2018,," 276.539,27 ",USD,Perú
301,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Seven Pharma S.A.C,21/01/2020,," 438.729,54 ",USD,Perú
302,Zidovudina+Lamivudina+Nevirapina 300+150+200mg/tab,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Seven Pharma S.A.C,29/01/2019,," 119.149,12 ",USD,Perú
